Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 1 million population,Cases - newly reported in last 7 days,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 1 million population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 24 hours,Transmission Classification
Global,,105249764,13482.651225478816,3183476,455534,2298606,294.4548455499906,89608,13405,
United States of America,Americas,26547977,80204.73,871365,129961,455735,1376.83,22562,3549,Community transmission
India,South-East Asia,10826363,7845.17,80180,12059,154996,112.32,722,78,Clusters of cases
Brazil,Americas,9447165,44444.82,328652,50872,230034,1082.21,7368,1239,Community transmission
Russian Federation,Europe,3951233,27075.39,119153,16627,76229,522.35,3532,497,Clusters of cases
The United Kingdom,Europe,3911577,57619.78,138760,19114,111264,1638.98,6915,1014,Community transmission
France,Europe,3241919,49666.69,139704,20741,78198,1198.01,2974,650,Community transmission
Spain,Europe,2913425,62312.88,112861,0,60802,1300.44,1539,0,Community transmission
Italy,Europe,2611659,43195.17,82589,14213,90618,1498.76,2760,377,Clusters of cases
Turkey,Europe,2516889,29842.5,52859,7901,26577,315.12,841,110,Community transmission
Germany,Europe,2275394,27157.88,70223,10485,61286,731.48,4740,689,Community transmission
Colombia,Americas,2142660,42109.64,65027,7248,55403,1088.83,2119,272,Community transmission
Argentina,Americas,1970009,43588.35,54647,8374,48985,1083.84,1210,285,Community transmission
Mexico,Americas,1912871,14836.19,70978,13051,164290,1274.23,7711,1368,Community transmission
Poland,Europe,1545530,40836.68,36856,5966,38994,1030.32,1912,282,Community transmission
South Africa,Africa,1470516,24794.28,26577,3749,45902,773.95,2269,297,Community transmission
Iran (Islamic Republic of),Eastern Mediterranean,1459370,17374.91,47639,6983,58412,695.44,523,76,Community transmission
Ukraine,Europe,1241479,28387.2,25201,4310,23516,537.71,888,129,Community transmission
Peru,Americas,1173045,35577.16,47170,7993,41933,1271.78,1247,180,Community transmission
Indonesia,South-East Asia,1147010,4193.46,80697,12156,31393,114.77,1665,191,Community transmission
Czechia,Europe,1030112,96191.41,49398,8635,17129,1599.5,918,153,Community transmission
Netherlands,Europe,997751,58229.26,27331,4365,14294,834.21,427,60,Community transmission
Canada,Americas,797756,21137,26963,4022,20609,546.05,808,96,Community transmission
Portugal,Europe,755774,74119.4,57191,6916,13740,1347.49,1854,258,Clusters of cases
Chile,Americas,748082,39133.4,25182,4063,18895,988.43,556,87,Community transmission
Romania,Europe,740732,38504.21,16482,2580,18748,974.55,552,73,Community transmission
Belgium,Europe,721432,62248.1,11787,0,21295,1837.42,210,0,Community transmission
Israel,Europe,645590,74586.96,15448,0,4806,555.25,125,0,Community transmission
Iraq,Eastern Mediterranean,627416,15598.64,8494,1660,13111,325.96,70,8,Community transmission
Sweden,Europe,588062,58228.2,21154,3404,12115,1199.59,101,1,Community transmission
Pakistan,Eastern Mediterranean,553128,2504.06,9914,1286,11914,53.94,291,28,Community transmission
Bangladesh,South-East Asia,537770,3265.36,3000,305,8190,49.73,79,8,Community transmission
Philippines,Western Pacific,535521,4886.98,12005,1934,11110,101.39,441,52,Community transmission
Switzerland,Europe,529285,61156.34,8152,2,8822,1019.34,118,0,Community transmission
Morocco,Eastern Mediterranean,474966,12868.02,4275,587,8381,227.06,122,13,Clusters of cases
Austria,Europe,417870,46397.02,9497,1501,7863,873.05,258,35,Community transmission
Serbia,Europe,404668,58110.53,12314,1968,4099,588.62,116,14,Community transmission
Japan,Western Pacific,403435,3189.8,16693,2080,6338,50.11,684,95,Clusters of cases
Hungary,Europe,375125,38831.4,8846,1561,13026,1348.4,563,96,Community transmission
Saudi Arabia,Eastern Mediterranean,369961,10626.83,2148,386,6397,183.75,25,4,Sporadic cases
Jordan,Eastern Mediterranean,333855,32720.83,8181,865,4369,428.2,65,7,Community transmission
Panama,Americas,325487,75435.59,7234,998,5426,1257.54,205,35,Community transmission
United Arab Emirates,Eastern Mediterranean,323402,32698.57,22741,3276,914,92.41,76,12,Community transmission
Lebanon,Eastern Mediterranean,317836,46566.34,18923,2496,3562,521.87,531,67,Community transmission
Nepal,South-East Asia,271806,9328.61,952,99,2035,69.84,8,0,Clusters of cases
Slovakia,Europe,261774,47947.1,14775,2241,5135,940.54,570,85,Clusters of cases
Georgia,Europe,261620,65582.61,3988,602,3269,819.47,110,11,Community transmission
Ecuador,Americas,257115,14573.16,7336,1703,15004,850.42,153,22,Community transmission
Belarus,Europe,255172,27004.26,10454,1759,1764,186.68,66,9,Community transmission
Kazakhstan,Europe,240983,12834.15,6414,0,3126,166.48,91,0,Clusters of cases
