,M1,1,j_1,1.1,Terminated,419912,419912.1,100,0.2
0,R2_1,1.0,j_2,1,Terminated,87076,87086,50.0,0.2
1,M1,1.0,j_2,1,Terminated,87076,87083,50.0,0.2
2,R6_3,371.0,j_3,1,Terminated,157297,157325,100.0,0.49
3,J4_2_3,1111.0,j_3,1,Terminated,157329,157376,100.0,0.59
4,R2_1,1.0,j_3,1,Terminated,157322,157328,100.0,0.39
5,J8_3_7,1111.0,j_3,1,Terminated,157331,157376,100.0,0.59
6,M3,12846.0,j_3,1,Terminated,157213,157295,100.0,0.3
7,R9_8,1.0,j_3,1,Terminated,157376,157381,100.0,0.39
8,R1_3,371.0,j_3,1,Terminated,157297,157322,100.0,0.49
9,R5_4,1.0,j_3,1,Terminated,157376,157381,100.0,0.39
10,R7_6,1.0,j_3,1,Terminated,157326,157330,100.0,0.39
11,M1,1.0,j_7,1,Terminated,299703,299707,100.0,0.3
12,R2_1,1.0,j_7,1,Terminated,299707,299710,100.0,0.39
13,R5_4,1.0,j_8,1,Terminated,316284,316295,50.0,0.2
14,M6,1138.0,j_8,1,Terminated,316284,316297,50.0,0.2
15,R16_15,1.0,j_8,1,Terminated,316284,316310,50.0,0.2
16,R10_9,1.0,j_8,1,Terminated,316284,316294,50.0,0.2
17,M1,1.0,j_8,1,Terminated,316284,316295,50.0,0.2
18,R15_14,1.0,j_8,1,Terminated,316284,316310,50.0,0.2
19,M8,1.0,j_8,1,Terminated,316284,316294,50.0,0.2
20,M11,116.0,j_8,1,Terminated,316284,316302,50.0,0.2
21,J13_2_5_7_12,3.0,j_8,1,Terminated,316284,316310,50.0,0.2
22,J12_10_11,1.0,j_8,1,Terminated,316284,316302,50.0,0.2
23,R2_1,1.0,j_8,1,Terminated,316284,316295,50.0,0.2
24,R7_6,5.0,j_8,1,Terminated,316284,316305,50.0,0.3
25,R4_3,1.0,j_8,1,Terminated,316284,316295,50.0,0.2
26,R14_13,1.0,j_8,1,Terminated,316284,316310,50.0,0.2
27,R9_8,1.0,j_8,1,Terminated,316284,316294,50.0,0.2
28,R17_16,1.0,j_8,1,Terminated,316284,316310,50.0,0.2
29,M3,1.0,j_8,1,Terminated,316284,316295,50.0,0.2
30,M4_3,1.0,j_15,1,Terminated,119444,119493,100.0,0.3
31,M1,1.0,j_15,1,Terminated,119444,119471,100.0,0.3
32,R3_2,1.0,j_15,1,Terminated,119444,119471,100.0,0.39
33,R5_4,1.0,j_15,1,Terminated,119444,119493,100.0,0.39
34,R2_1,1.0,j_15,1,Terminated,119444,119471,100.0,0.49
35,M1,1.0,j_16,1,Terminated,209345,209349,50.0,0.39
36,task_LTg0MTUwNTA5Mjg4MDkwNjIzMA==,1.0,j_17,10,Terminated,580371,580515,75.0,0.1
37,M1,2.0,j_25,1,Terminated,222975,222978,100.0,0.3
38,R2_1,1.0,j_25,1,Terminated,222975,222978,100.0,0.49
39,R3_2,1.0,j_25,1,Terminated,222975,222978,100.0,0.39
40,M1,1.0,j_30,1,Terminated,97678,97679,100.0,0.2
41,R3_2,1.0,j_31,1,Terminated,188349,188357,50.0,0.2
42,M1,1.0,j_31,1,Terminated,188349,188354,50.0,0.2
43,R2_1,1.0,j_31,1,Terminated,188349,188355,50.0,0.2
44,M1,1.0,j_34,1,Terminated,669954,669955,100.0,0.3
45,M3,100.0,j_34,1,Terminated,669954,669965,100.0,0.3
46,R7_6,1.0,j_34,1,Terminated,669954,669956,100.0,0.39
47,M8_5_7,141.0,j_34,1,Terminated,669954,669976,100.0,0.3
48,J9_2_3_8,243.0,j_34,1,Terminated,669954,669988,100.0,0.59
49,R10_9,243.0,j_34,1,Terminated,669954,670005,100.0,0.39
50,M6,1.0,j_34,1,Terminated,669954,669955,100.0,0.3
51,R2_1,1.0,j_34,1,Terminated,669954,669962,100.0,0.39
52,R5_4,1.0,j_34,1,Terminated,669954,669956,100.0,0.39
53,M4,1.0,j_34,1,Terminated,669954,669955,100.0,0.3
54,M1,1.0,j_35,1,Terminated,420324,420328,50.0,0.3
55,M1,1.0,j_37,1,Terminated,416079,416079,100.0,0.2
56,task_MTM0ODUxMTY0NjQzMTI1NTc1MQ==,1.0,j_39,6,Terminated,675912,675918,30.0,0.05
57,task_LTE4NjUxMjg5NDY5MDI4NjAzNzU=,1.0,j_39,6,Terminated,675912,675920,5.0,0.03
58,task_ODk2MzU0ODg1MTY5MTExNTUwMg==,1.0,j_39,6,Terminated,675912,675915,10.0,0.05
59,J6_2_5,3.0,j_49,1,Terminated,231440,231727,100.0,0.59
60,M3,1.0,j_49,1,Terminated,231440,231440,100.0,0.3
61,M5_4,1.0,j_49,1,Terminated,231440,231492,100.0,0.3
