,task_name,instance_num,job_name,task_type,status,start_time,end_time,plan_cpu,plan_mem,duration
0,R2_1,1.0,j_2,1,Terminated,87076,87086,50.0,0.2,10
1,M1,1.0,j_2,1,Terminated,87076,87083,50.0,0.2,7
2,R6_3,371.0,j_3,1,Terminated,157297,157325,100.0,0.49,28
3,J4_2_3,1111.0,j_3,1,Terminated,157329,157376,100.0,0.59,47
4,R2_1,1.0,j_3,1,Terminated,157322,157328,100.0,0.39,6
5,J8_3_7,1111.0,j_3,1,Terminated,157331,157376,100.0,0.59,45
6,M3,12846.0,j_3,1,Terminated,157213,157295,100.0,0.3,82
7,R9_8,1.0,j_3,1,Terminated,157376,157381,100.0,0.39,5
8,R1_3,371.0,j_3,1,Terminated,157297,157322,100.0,0.49,25
9,R5_4,1.0,j_3,1,Terminated,157376,157381,100.0,0.39,5
10,R7_6,1.0,j_3,1,Terminated,157326,157330,100.0,0.39,4
11,M1,1.0,j_7,1,Terminated,299703,299707,100.0,0.3,4
12,R2_1,1.0,j_7,1,Terminated,299707,299710,100.0,0.39,3
13,R5_4,1.0,j_8,1,Terminated,316284,316295,50.0,0.2,11
14,M6,1138.0,j_8,1,Terminated,316284,316297,50.0,0.2,13
15,R16_15,1.0,j_8,1,Terminated,316284,316310,50.0,0.2,26
16,R10_9,1.0,j_8,1,Terminated,316284,316294,50.0,0.2,10
17,M1,1.0,j_8,1,Terminated,316284,316295,50.0,0.2,11
18,R15_14,1.0,j_8,1,Terminated,316284,316310,50.0,0.2,26
19,M8,1.0,j_8,1,Terminated,316284,316294,50.0,0.2,10
20,M11,116.0,j_8,1,Terminated,316284,316302,50.0,0.2,18
21,J13_2_5_7_12,3.0,j_8,1,Terminated,316284,316310,50.0,0.2,26
22,J12_10_11,1.0,j_8,1,Terminated,316284,316302,50.0,0.2,18
23,R2_1,1.0,j_8,1,Terminated,316284,316295,50.0,0.2,11
24,R7_6,5.0,j_8,1,Terminated,316284,316305,50.0,0.3,21
25,R4_3,1.0,j_8,1,Terminated,316284,316295,50.0,0.2,11
26,R14_13,1.0,j_8,1,Terminated,316284,316310,50.0,0.2,26
27,R9_8,1.0,j_8,1,Terminated,316284,316294,50.0,0.2,10
28,R17_16,1.0,j_8,1,Terminated,316284,316310,50.0,0.2,26
29,M3,1.0,j_8,1,Terminated,316284,316295,50.0,0.2,11
30,M4_3,1.0,j_15,1,Terminated,119444,119493,100.0,0.3,49
31,M1,1.0,j_15,1,Terminated,119444,119471,100.0,0.3,27
32,R3_2,1.0,j_15,1,Terminated,119444,119471,100.0,0.39,27
33,R5_4,1.0,j_15,1,Terminated,119444,119493,100.0,0.39,49
34,R2_1,1.0,j_15,1,Terminated,119444,119471,100.0,0.49,27
35,M1,1.0,j_16,1,Terminated,209345,209349,50.0,0.39,4
36,task_LTg0MTUwNTA5Mjg4MDkwNjIzMA==,1.0,j_17,10,Terminated,580371,580515,75.0,0.1,144
37,M1,2.0,j_25,1,Terminated,222975,222978,100.0,0.3,3
38,R2_1,1.0,j_25,1,Terminated,222975,222978,100.0,0.49,3
39,R3_2,1.0,j_25,1,Terminated,222975,222978,100.0,0.39,3
40,M1,1.0,j_30,1,Terminated,97678,97679,100.0,0.2,1
41,R3_2,1.0,j_31,1,Terminated,188349,188357,50.0,0.2,8
42,M1,1.0,j_31,1,Terminated,188349,188354,50.0,0.2,5
43,R2_1,1.0,j_31,1,Terminated,188349,188355,50.0,0.2,6
44,M1,1.0,j_34,1,Terminated,669954,669955,100.0,0.3,1
45,M3,100.0,j_34,1,Terminated,669954,669965,100.0,0.3,11
46,R7_6,1.0,j_34,1,Terminated,669954,669956,100.0,0.39,2
47,M8_5_7,141.0,j_34,1,Terminated,669954,669976,100.0,0.3,22
48,J9_2_3_8,243.0,j_34,1,Terminated,669954,669988,100.0,0.59,34
49,R10_9,243.0,j_34,1,Terminated,669954,670005,100.0,0.39,51
50,M6,1.0,j_34,1,Terminated,669954,669955,100.0,0.3,1
51,R2_1,1.0,j_34,1,Terminated,669954,669962,100.0,0.39,8
52,R5_4,1.0,j_34,1,Terminated,669954,669956,100.0,0.39,2
53,M4,1.0,j_34,1,Terminated,669954,669955,100.0,0.3,1
54,M1,1.0,j_35,1,Terminated,420324,420328,50.0,0.3,4
56,task_MTM0ODUxMTY0NjQzMTI1NTc1MQ==,1.0,j_39,6,Terminated,675912,675918,30.0,0.05,6
57,task_LTE4NjUxMjg5NDY5MDI4NjAzNzU=,1.0,j_39,6,Terminated,675912,675920,5.0,0.03,8
58,task_ODk2MzU0ODg1MTY5MTExNTUwMg==,1.0,j_39,6,Terminated,675912,675915,10.0,0.05,3
59,J6_2_5,3.0,j_49,1,Terminated,231440,231727,100.0,0.59,287
61,M5_4,1.0,j_49,1,Terminated,231440,231492,100.0,0.3,52
62,R7_6,3.0,j_49,1,Terminated,231440,231727,100.0,0.39,287
63,R2_1,1.0,j_49,1,Terminated,231440,231441,100.0,0.39,1
64,M1,1.0,j_49,1,Terminated,231440,231441,100.0,0.3,1
66,R2_1,1.0,j_52,1,Terminated,545783,545784,50.0,0.2,1
67,M1,1.0,j_52,1,Terminated,545783,545784,50.0,0.2,1
68,M1,1.0,j_53,1,Terminated,546934,546950,50.0,0.2,16
69,M1,1.0,j_60,1,Terminated,274091,274102,100.0,0.2,11
71,M2,1.0,j_66,1,Terminated,178509,178513,50.0,0.3,4
72,J3_1_2,1.0,j_66,1,Terminated,178509,178533,50.0,0.3,24
73,M1,4.0,j_66,1,Terminated,178509,178522,50.0,0.39,13
74,M1,1.0,j_67,1,Terminated,618233,618234,100.0,0.2,1
76,M1,1.0,j_73,1,Terminated,363607,363608,100.0,0.3,1
77,R3_2,1.0,j_73,1,Terminated,363607,363608,100.0,0.49,1
78,R2_1,1.0,j_73,1,Terminated,363607,363608,100.0,0.49,1
79,R4_3,1.0,j_73,1,Terminated,363607,363608,100.0,0.49,1
80,R5_4,1.0,j_73,1,Terminated,363607,363608,100.0,0.39,1
81,R3_2,1.0,j_76,1,Terminated,633313,633318,100.0,0.49,5
82,R4_3,1.0,j_76,1,Terminated,633313,633318,100.0,0.39,5
83,M1,11.0,j_76,1,Terminated,633313,633318,100.0,0.3,5
84,R2_1,5.0,j_76,1,Terminated,633313,633318,100.0,0.49,5
87,J7_5_6,3.0,j_79,1,Terminated,349657,349662,100.0,0.59,5
88,M4_1_2_3,3.0,j_79,1,Terminated,349657,349662,100.0,0.3,5
89,M5,1.0,j_79,1,Terminated,349657,349658,100.0,0.3,1
90,R2_5,1.0,j_79,1,Terminated,349657,349658,100.0,0.39,1
91,M6,1.0,j_79,1,Terminated,349657,349660,100.0,0.3,3
92,R1_5,1.0,j_79,1,Terminated,349657,349658,100.0,0.39,1
93,R8_4_7,7.0,j_79,1,Terminated,349657,349663,100.0,0.39,6
94,R3_5,1.0,j_79,1,Terminated,349657,349659,100.0,0.39,2
95,R2_1,1.0,j_81,1,Terminated,443709,443732,50.0,0.2,23
96,M1,1.0,j_81,1,Terminated,443709,443729,50.0,0.2,20
97,R2_1,1.0,j_82,1,Terminated,609606,609624,50.0,0.2,18
98,M3,108.0,j_82,1,Terminated,609606,609661,50.0,0.59,55
99,J4_2_3,61.0,j_82,1,Terminated,609606,609715,50.0,0.39,109
100,M1,1.0,j_82,1,Terminated,609606,609616,50.0,0.39,10
103,task_ODk2MzU0ODg1MTY5MTExNTUwMg==,1.0,j_85,6,Terminated,474800,475186,10.0,0.05,386
104,R4_3,3.0,j_87,1,Terminated,444270,444277,100.0,0.39,7
105,M3_2,3.0,j_87,1,Terminated,444270,444277,100.0,0.3,7
106,M1,1.0,j_87,1,Terminated,444270,444271,100.0,0.3,1
107,R2_1,1.0,j_87,1,Terminated,444270,444272,100.0,0.39,2
108,task_LTI0MjU2NDM0NTE3NDI0MzkwNjE=,1.0,j_88,3,Terminated,248934,249248,100.0,0.39,314
109,task_MzQwMDQzNjY0MzkwNzU2ODYyMg==,1.0,j_88,3,Terminated,248934,248938,100.0,0.39,4
111,R3_2,1.0,j_89,1,Terminated,212262,212286,100.0,0.39,24
113,R9_8,11.0,j_90,1,Terminated,645686,645718,100.0,0.39,32
114,M2,1.0,j_90,1,Terminated,645686,645687,100.0,0.3,1
115,R6_5,1.0,j_90,1,Terminated,645686,645692,100.0,0.74,6
116,M4,1.0,j_90,1,Terminated,645686,645687,100.0,0.3,1
117,M5,1.0,j_90,1,Terminated,645686,645688,100.0,0.3,2
118,R7_6,1.0,j_90,1,Terminated,645686,645693,100.0,0.49,7
119,R3_2,1.0,j_90,1,Terminated,645686,645688,100.0,0.49,2
120,M1,8.0,j_90,1,Terminated,645686,645702,100.0,0.3,16
121,J8_1_3_4_7,11.0,j_90,1,Terminated,645686,645718,100.0,0.59,32
122,M1,4.0,j_92,1,Terminated,100502,100510,50.0,0.39,8
123,MergeTask,1.0,j_94,1,Terminated,360144,360147,100.0,0.1,3
124,R7_9,1.0,j_95,1,Terminated,412627,412629,100.0,0.49,2
125,J4_3_9,3.0,j_95,1,Terminated,412627,412640,100.0,0.59,13
126,R15_14,1.0,j_95,1,Terminated,412627,412640,100.0,0.39,13
127,M2,1.0,j_95,1,Terminated,412627,412636,100.0,0.3,9
128,R1_2,1.0,j_95,1,Terminated,412627,412636,100.0,0.49,9
129,J5_4_12,15.0,j_95,1,Terminated,412627,412640,100.0,0.59,13
130,M12_8_11,3.0,j_95,1,Terminated,412627,412630,100.0,0.3,3
131,R10_9,1.0,j_95,1,Terminated,412627,412629,100.0,0.49,2
132,R11_10,1.0,j_95,1,Terminated,412627,412629,100.0,0.39,2
133,R3_2,1.0,j_95,1,Terminated,412627,412640,100.0,0.49,13
134,J14_1_6_13,19.0,j_95,1,Terminated,412627,412640,100.0,0.59,13
135,R13_12,3.0,j_95,1,Terminated,412627,412630,100.0,0.49,3
136,M9,1.0,j_95,1,Terminated,412627,412629,100.0,0.3,2
137,R6_5,15.0,j_95,1,Terminated,412627,412640,100.0,0.49,13
138,R8_7,1.0,j_95,1,Terminated,412627,412629,100.0,0.39,2
139,R2_1,1.0,j_97,1,Terminated,285823,285824,100.0,0.39,1
140,M3_2,1.0,j_97,1,Terminated,285823,285830,100.0,0.3,7
141,M1,1.0,j_97,1,Terminated,285823,285824,100.0,0.3,1
142,R4_3,1.0,j_97,1,Terminated,285823,285830,100.0,0.39,7
143,M1,1.0,j_98,1,Terminated,347368,347372,100.0,0.3,4
144,R2_1,1.0,j_98,1,Terminated,347372,347375,100.0,0.39,3
145,M1,2.0,j_102,1,Terminated,118960,119057,50.0,0.39,97
146,M11,251.0,j_102,1,Terminated,118960,119151,50.0,0.69,191
147,J6_5_13,5.0,j_102,1,Terminated,118960,119274,50.0,0.39,314
148,J13_10_11_12,281.0,j_102,1,Terminated,118960,119242,50.0,0.39,282
149,R8_7,1.0,j_102,1,Terminated,118960,119294,50.0,0.2,334
