,submit_time,duration,cpu,memory,job_id,task_id,instances_num,disk
0,539,116.38162544169612,1.0,0.005404705821447985,1,1,283,0
1,7448,73.59701492537313,0.5,0.007863743431781119,9,23,67,0
2,7448,87.38095238095238,0.5,0.007848212667926385,9,24,21,0
3,7448,21.176470588235293,0.5,0.01600704061294748,9,25,17,0
4,7448,2.0,0.5,0.005404705821447985,9,26,1,0
5,7448,41.392857142857146,0.5,0.013356456915072607,9,27,28,0
6,7448,3.0,0.5,0.004094944736365284,9,28,1,0
7,8250,183.0,1.0,0.005404705821447985,10,29,15,0
8,8250,183.0,1.0,0.005404705821447985,10,30,19,0
9,8250,183.1851851851852,1.0,0.005404705821447985,10,31,27,0
10,8250,140.35294117647058,1.0,0.005404705821447985,10,32,17,0
11,8250,2.0,1.0,0.005404705821447985,10,33,1,0
12,8250,2.0,1.0,0.005404705821447985,10,34,1,0
13,8250,183.0,1.0,0.005404705821447985,10,35,7,0
14,8250,183.0,1.0,0.005404705821447985,10,36,19,0
15,8687,6.0,0.5,0.004105298578935108,12,42,1,0
16,8687,3.0,0.5,0.004074237051225636,12,43,1,0
17,8687,48.55102040816327,0.5,0.01600704061294748,12,44,393,0
18,8687,32.5,0.5,0.010705873217197731,12,45,115,0
19,8687,38.333333333333336,0.5,0.010705873217197731,12,46,3,0
20,8687,50.75,0.5,0.009774027385913596,12,47,8,0
21,8687,7.0,0.5,0.004053529366085989,12,49,1,0
22,10908,162.1126436781609,0.5,0.010265834907980224,16,68,435,0
23,10908,12.0,0.5,0.004100121657650196,16,69,1,0
24,10908,6.0,0.5,0.004074237051225636,16,70,1,0
25,10908,34.90909090909091,0.5,0.01600704061294748,16,71,253,0
26,10908,54.910364145658264,0.5,0.013356456915072607,16,72,357,0
27,10908,339.9670781893004,0.5,0.009520358242952916,16,73,243,0
28,10908,452.880658436214,0.5,0.008257189449434422,16,74,243,0
29,11042,100.50746268656717,0.5,0.007863743431781119,17,75,67,0
30,11042,113.76190476190476,0.5,0.007848212667926385,17,76,21,0
31,11042,21.705882352941178,0.5,0.01600704061294748,17,77,17,0
32,11042,4.0,0.5,0.005404705821447985,17,78,1,0
33,11042,65.67857142857143,0.5,0.013356456915072607,17,79,28,0
34,11042,8.0,0.5,0.004094944736365284,17,80,1,0
35,13158,29.652173913043477,0.5,0.004188129319493697,22,98,23,0
36,13158,27.11111111111111,0.5,0.00805528951932286,22,99,9,0
37,13158,43.34782608695652,0.5,0.00805528951932286,22,100,161,0
38,13158,40.5,0.5,0.00805528951932286,22,101,10,0
39,13158,74.22222222222223,0.5,0.005736028783682345,22,102,9,0
40,13158,50.666666666666664,0.5,0.005736028783682345,22,103,3,0
41,13158,125.47953216374269,0.5,0.005736028783682345,22,104,171,0
42,13158,72.71428571428571,0.5,0.005736028783682345,22,105,7,0
43,14639,92.34328358208955,0.5,0.007863743431781119,25,119,67,0
44,14639,163.23809523809524,0.5,0.007848212667926385,25,120,21,0
45,14639,23.705882352941178,0.5,0.01600704061294748,25,121,17,0
46,14639,4.0,0.5,0.005404705821447985,25,122,1,0
47,14639,55.25,0.5,0.013356456915072607,25,123,28,0
48,14639,4.0,0.5,0.004094944736365284,25,124,1,0
49,16454,195.09165302782324,0.5,0.008935366137757875,27,137,611,0
50,16454,53.46666666666667,0.5,0.00853156627753475,27,138,15,0
51,16454,82.81553398058253,0.5,0.013356456915072607,27,139,103,0
